Jurisdictions,Effective Date,Valid Through Date,Bans_Prohibit,_citation_Bans_Prohibit,_caution_Bans_Prohibit,Prohibit_Req,_citation_Prohibit_Req,_caution_Prohibit_Req,Prohibit_When,_citation_Prohibit_When,_caution_Prohibit_When,Prohibit_Exc,_citation_Prohibit_Exc,_caution_Prohibit_Exc,Exc_Req,_citation_Exc_Req,_caution_Exc_Req,Reason_Prohibit,_citation_Reason_Prohibit,_caution_Reason_Prohibit,Reason_What,_citation_Reason_What,_caution_Reason_What,Methods_Prohibit,_citation_Methods_Prohibit,_caution_Methods_Prohibit,Methods_Proced,_citation_Methods_Proced,_caution_Methods_Proced,Methods_Exc,_citation_Methods_Exc,_caution_Methods_Exc,Limited_Law,_citation_Limited_Law,_caution_Limited_Law,Limited_Court,_citation_Limited_Court,_caution_Limited_Court,Limited_AG,_citation_Limited_AG,_caution_Limited_AG
Massachusetts,7/27/2018,12/1/2018,1,"24 weeks - Mass. Gen. Laws Ch. 112, § 12M. Abortion; pregnancy existing for 24 weeks ( Full Title: Mass. Gen. Laws Ch. 112, § 12M. Abortion; pregnancy existing for 24 weeks or more)",,1,"24 weeks - Mass. Gen. Laws Ch. 112, § 12M. Abortion; pregnancy existing for 24 weeks ( Full Title: Mass. Gen. Laws Ch. 112, § 12M. Abortion; pregnancy existing for 24 weeks or more)",,25 weeks postfertilization (27 weeks LMP),"24 weeks - Mass. Gen. Laws Ch. 112, § 12M. Abortion; pregnancy existing for 24 weeks ( Full Title: Mass. Gen. Laws Ch. 112, § 12M. Abortion; pregnancy existing for 24 weeks or more)",,"Life endangerment, Serious health risk","24 weeks - Mass. Gen. Laws Ch. 112, § 12M. Abortion; pregnancy existing for 24 weeks ( Full Title: Mass. Gen. Laws Ch. 112, § 12M. Abortion; pregnancy existing for 24 weeks or more)",,"Must be performed in a hospital, Must use a method most likely to result in fetal survival","protection - Mass. Gen. Laws Ch. 112, § 12 ( Full Title: Mass. Gen. Laws Ch. 112, § 12O. Abortion performed pursuant to Sec. 12M; protection of unborn child), reasonable steps - Mass. Gen. Laws Ch. 112, § 12 ( Full Title: Mass. Gen. Laws Ch. 112, § 12P. Abortion performed pursuant to Sec. 12M; preservation of life and health of child), hsoptial - Mass. Gen. Laws Ch. 112, § 12 ( Full Title: Mass. Gen. Laws Ch. 112, § 12Q. Restrictions on abortions performed under Sec. 12L or 12M; emergency excepted)","An abortion performed under an exception must be performed in a hospital, ""except in an emergency requiring immediate action."" Mass. Gen. Laws Ch. 112, § 12Q",0,,,,,,0,,,,,,,,,0,,,0,,,0,,
Michigan,6/4/2007,12/1/2018,1,"Partial-birth ban - Mich. Comp. Laws § 333.17016 (1) ( Full Title: Mich. Comp. Laws § 333.17016. Performance of partial-birth abortion prohibited.), 2nd partial-birth ban - Mich. Comp. Laws § 333.17516 (1) ( Full Title: Mich. Comp. Laws § 333.17516. Performance of partial-birth abortion prohibited.), Partial ban - Mich. Comp. Laws § 750.90g (3) ( Full Title: Mich. Comp. Laws § 750.90g. “Infant protection act” as short title of section; legislative findings; prohibited acts; violation as felony; penalty; exceptions; definitions.), Post-viability - Mich. Comp. Laws § 750.323 ( Full Title: Mich. Comp. Laws § 750.323. Manslaughter; death of quick child or mother from use of medicine or instrument.)",,1,Post-viability - Mich. Comp. Laws § 750.323 ( Full Title: Mich. Comp. Laws § 750.323. Manslaughter; death of quick child or mother from use of medicine or instrument.),,Viability,Post-viability - Mich. Comp. Laws § 750.323 ( Full Title: Mich. Comp. Laws § 750.323. Manslaughter; death of quick child or mother from use of medicine or instrument.),"There are two bans in Michigan: a post-viability ban (Mich. Comp. Laws § 750.323), and a total ban (Mich. Comp. Laws § 750.14). The Supreme Court of Michigan held that the Michigan statute imposing a total ban on abortion cannot stand as it relates to abortions in the first trimester that are authorized by the pregnant woman's attending physician in exercise of their medical judgment. The court also held that the exceptions to an abortion ban established by Roe v. Wade can properly be read into the Michigan statutes banning abortion to preserve their constitutionality. People v. Bricker, 389 Mich. 524 (1973).",Life endangerment,Post-viability - Mich. Comp. Laws § 750.323 ( Full Title: Mich. Comp. Laws § 750.323. Manslaughter; death of quick child or mother from use of medicine or instrument.),,No requirements,,,0,,,,,,1,"Partial-birth ban - Mich. Comp. Laws § 333.17016 (1) ( Full Title: Mich. Comp. Laws § 333.17016. Performance of partial-birth abortion prohibited.), 2nd partial-birth ban - Mich. Comp. Laws § 333.17516 (1) ( Full Title: Mich. Comp. Laws § 333.17516. Performance of partial-birth abortion prohibited.)",,Partial-birth abortions,"Partial-birth ban - Mich. Comp. Laws § 333.17016 (1) ( Full Title: Mich. Comp. Laws § 333.17016. Performance of partial-birth abortion prohibited.), 2nd partial-birth ban - Mich. Comp. Laws § 333.17516 (1) ( Full Title: Mich. Comp. Laws § 333.17516. Performance of partial-birth abortion prohibited.), Perinate ban - Mich. Comp. Laws § 333.1083 (2) ( Full Title: Mich. Comp. Laws § 333.1083. Perinate as legally born person; immunity.), Perinate definition - Mich. Comp. Laws § 333.1085 (d) ( Full Title: Mich. Comp. Laws § 333.1085. Definitions.), Partial ban - Mich. Comp. Laws § 750.90g (3) ( Full Title: Mich. Comp. Laws § 750.90g. “Infant protection act” as short title of section; legislative findings; prohibited acts; violation as felony; penalty; exceptions; definitions.), Live infant definition - Mich. Comp. Laws § 750.90g (6) (a) ( Full Title: Mich. Comp. Laws § 750.90g. “Infant protection act” as short title of section; legislative findings; prohibited acts; violation as felony; penalty; exceptions; definitions.)",,Life endangerment,"Partial-birth exception - Mich. Comp. Laws § 333.17016 (2) ( Full Title: Mich. Comp. Laws § 333.17016. Performance of partial-birth abortion prohibited.), 2nd partial-birth exception - Mich. Comp. Laws § 333.17516 (2) ( Full Title: Mich. Comp. Laws § 333.17516. Performance of partial-birth abortion prohibited.), Fetal survival - Mich. Comp. Laws § 750.90g (4) ( Full Title: Mich. Comp. Laws § 750.90g. “Infant protection act” as short title of section; legislative findings; prohibited acts; violation as felony; penalty; exceptions; definitions.)",,1,"Legal Birth Definition Act unconstitutional - Northland Family Planning Clinic, Inc. v. Cox, 487 F.3d 323 (6th ( Full Title: Northland Family Planning Clinic, Inc. v. Cox, 487 F.3d 323 (6th Cir. 2007)), Infant Protection Act unconstitutional - WomanCare of Southfield, P.C. v. Granholm, 143 F.Supp.2d 849 ( Full Title: WomanCare of Southfield, P.C. v. Granholm, 143 F.Supp.2d 849 (E.D. Mich. 2001))",,1,"Legal Birth Definition Act unconstitutional - Northland Family Planning Clinic, Inc. v. Cox, 487 F.3d 323 (6th ( Full Title: Northland Family Planning Clinic, Inc. v. Cox, 487 F.3d 323 (6th Cir. 2007)), Infant Protection Act unconstitutional - WomanCare of Southfield, P.C. v. Granholm, 143 F.Supp.2d 849 ( Full Title: WomanCare of Southfield, P.C. v. Granholm, 143 F.Supp.2d 849 (E.D. Mich. 2001))","The Sixth Circuit held the Legal Birth Definition Act (Mich. Comp. Laws § 333.1083) unconstitutional because it unduly burdened a woman's right to choose and it did not provide an exception to protect a woman's health and life. Northland Family Planning Clinic, Inc. v. Cox, 487 F.3d 323 (6th Cir. 2007). The Eastern District Court of Michigan held the Infant Protection Act (Mich. Comp. Laws § 750.90g), which prohibited partial-birth abortions, unconstitutional because it did not provide an exception to protect the health of the pregnant woman. WomanCare of Southfield, P.C. v. Granholm, 143 F.Supp.2d 849 (E.D. Mich. 2001).",0,,
Minnesota,7/1/2015,12/1/2018,1,"Viability ban - Minn. Stat. § 145.412 (2) ( Full Title: Minn. Stat. § 145.412. Criminal acts.), Viable definition - Minn. Stat. § 145.411 (2) ( Full Title: Minn. Stat. § 145.411. Regulation of abortions; definitions.)",,1,"Viability ban - Minn. Stat. § 145.412 (2) ( Full Title: Minn. Stat. § 145.412. Criminal acts.), Viable definition - Minn. Stat. § 145.411 (2) ( Full Title: Minn. Stat. § 145.411. Regulation of abortions; definitions.)",,Viability,"Viability ban - Minn. Stat. § 145.412 (2) ( Full Title: Minn. Stat. § 145.412. Criminal acts.), Viable definition - Minn. Stat. § 145.411 (2) ( Full Title: Minn. Stat. § 145.411. Regulation of abortions; definitions.)",,"Life endangerment, Health",Viability ban - Minn. Stat. § 145.412 (2) ( Full Title: Minn. Stat. § 145.412. Criminal acts.),,"Must be performed in a hospital, Must use a method most likely to result in fetal survival, Second physician must attend the abortion","Viability ban - Minn. Stat. § 145.412 (2) ( Full Title: Minn. Stat. § 145.412. Criminal acts.), 2nd physician requirement - Minn. Stat. § 145.423 (2) ( Full Title: Minn. Stat. § 145.423. Abortion; live births.)",,0,,,,,,0,,,,,,,,,1,"Potentially viable ban unconstitutional - Hodgson v. Lawson, 542 F.2d 1350  ( Full Title: Hodgson v. Lawson, 542 F.2d 1350 (8th Cir. 1976))",,1,"Potentially viable ban unconstitutional - Hodgson v. Lawson, 542 F.2d 1350  ( Full Title: Hodgson v. Lawson, 542 F.2d 1350 (8th Cir. 1976))","The Eighth Circuit held that that the ban on performing an abortion when a fetus is potentially viable is unconstitutional, and that the inclusion of “potentially viable” in the definition of “viable” is unconstitutional. Hodgson v. Lawson, 542 F.2d 1350 (8th Cir. 1976).",0,,
Mississippi,11/20/2018,12/1/2018,1,"Partial-birth abortion - Miss. Code § 41-41-73 (1) ( Full Title: Miss. Code § 41-41-73. Partial-birth abortions prohibited; penalties for violations.), Dismemberment ban - Miss. Code § 41-41-155 (1) ( Full Title: Miss. Code § 41-41-155. Dismemberment abortion prohibited.), 15-week ban - Miss. Code § 41-41-191 (4) (b) ( Full Title: Miss. Code § 41-41-191. Gestational Age Act; legislative findings and purpose; definitions; abortion limited to fifteen weeks' gestation; exceptions; requisite report; reporting forms; professional sanctions; civil penalties; additional enforcement; construction; severability; right to intervene if constitutionality challenged.)",,1,15-week ban - Miss. Code § 41-41-191 (4) (b) ( Full Title: Miss. Code § 41-41-191. Gestational Age Act; legislative findings and purpose; definitions; abortion limited to fifteen weeks' gestation; exceptions; requisite report; reporting forms; professional sanctions; civil penalties; additional enforcement; construction; severability; right to intervene if constitutionality challenged.),,13 weeks postfertilization (15 weeks LMP),"15-week ban - Miss. Code § 41-41-191 (4) (b) ( Full Title: Miss. Code § 41-41-191. Gestational Age Act; legislative findings and purpose; definitions; abortion limited to fifteen weeks' gestation; exceptions; requisite report; reporting forms; professional sanctions; civil penalties; additional enforcement; construction; severability; right to intervene if constitutionality challenged.), Gestational age definition - Miss. Code § 41-41-191 (3) (f) ( Full Title: Miss. Code § 41-41-191. Gestational Age Act; legislative findings and purpose; definitions; abortion limited to fifteen weeks' gestation; exceptions; requisite report; reporting forms; professional sanctions; civil penalties; additional enforcement; construction; severability; right to intervene if constitutionality challenged.)","There are three bans in Mississippi: a 15-week gestational age ban (Miss. Code § 41-41-191 (4) (b)); a 20-week gestational age ban (Miss. Code § 41-41-137); and a total ban (Miss. Code § 97-3-3 (1)). The provisions of the total ban statute that limit exceptions to preserving the life of the mother and rape have been held unconstitutional. Spears v. State, 278 So.2d 443 (Miss. 1973).","Life endangerment, Serious health risk, Fetal anomaly","15-week ban - Miss. Code § 41-41-191 (4) (b) ( Full Title: Miss. Code § 41-41-191. Gestational Age Act; legislative findings and purpose; definitions; abortion limited to fifteen weeks' gestation; exceptions; requisite report; reporting forms; professional sanctions; civil penalties; additional enforcement; construction; severability; right to intervene if constitutionality challenged.), Medical emergency definition - Miss. Code § 41-41-191 (3) (j) ( Full Title: Miss. Code § 41-41-191. Gestational Age Act; legislative findings and purpose; definitions; abortion limited to fifteen weeks' gestation; exceptions; requisite report; reporting forms; professional sanctions; civil penalties; additional enforcement; construction; severability; right to intervene if constitutionality challenged.), Lethal fetal abnormality - Miss. Code § 41-41-191 (3) (h) ( Full Title: Miss. Code § 41-41-191. Gestational Age Act; legislative findings and purpose; definitions; abortion limited to fifteen weeks' gestation; exceptions; requisite report; reporting forms; professional sanctions; civil penalties; additional enforcement; construction; severability; right to intervene if constitutionality challenged.)",The exception for fetal anomaly is limited to a life-threatening fetal abnormality. Miss. Code § 41-41-191 (4) (b); Miss. Code § 41-41-191 (3) (h).,No requirements,,,0,,,,,,1,"Partial-birth abortion - Miss. Code § 41-41-73 (1) ( Full Title: Miss. Code § 41-41-73. Partial-birth abortions prohibited; penalties for violations.), Dismemberment ban - Miss. Code § 41-41-155 (1) ( Full Title: Miss. Code § 41-41-155. Dismemberment abortion prohibited.)",,"Partial-birth abortions, Dismemberment abortions","Partial-birth abortion - Miss. Code § 41-41-73 (1) ( Full Title: Miss. Code § 41-41-73. Partial-birth abortions prohibited; penalties for violations.), Dismemberment ban - Miss. Code § 41-41-155 (1) ( Full Title: Miss. Code § 41-41-155. Dismemberment abortion prohibited.)",,"Life endangerment, Serious health risk","Partial-birth abortion - Miss. Code § 41-41-73 (1) ( Full Title: Miss. Code § 41-41-73. Partial-birth abortions prohibited; penalties for violations.), Dismemberment exception - Miss. Code § 41-41-155 (2) ( Full Title: Miss. Code § 41-41-155. Dismemberment abortion prohibited.), Serious health risk definition - Miss. Code § 41-41-153 (f) ( Full Title: Miss. Code § 41-41-153. Definitions.)","The exception for serious health risk is limited to physical health, and only applies to the performance of dismemberment abortions. Miss. Code § 41-41-155 (2); Miss. Code § 41-41-153 (f).",1,"15 week ban enjoined - Jackson Women's Health Organization v. Currier, 2018 WL 6072127  ( Full Title: Jackson Women's Health Organization v. Currier, 2018 WL 6072127 (S.D. Miss. 2018))",,1,"15 week ban enjoined - Jackson Women's Health Organization v. Currier, 2018 WL 6072127  ( Full Title: Jackson Women's Health Organization v. Currier, 2018 WL 6072127 (S.D. Miss. 2018))","The U.S. District Court for the Southern District of Mississippi held that the statute banning abortions after 15 weeks is unconstitutional, and enforcement of the statute is permanently enjoined. Jackson Women's Health Organization v. Currier,  2018 WL 6072127 (S.D. Miss. 2018).",0,,
Missouri,10/24/2017,12/1/2018,1,"viabiity ban - Mo. Rev. Stat. § 188.030 ( Full Title: Mo. Rev. Stat. § 188.030. Abortion of viable unborn child prohibited, exceptions--physician duties--violations, penalty--severability--right of intervention, when.), partial birth ban - Mo. Rev. Stat. § 565.300 ( Full Title: Mo. Rev. Stat. § 565.300.  Infant's protection act — definitions — crime of infanticide — penalty — exception — application of law.)",,1,"viabiity ban - Mo. Rev. Stat. § 188.030 ( Full Title: Mo. Rev. Stat. § 188.030. Abortion of viable unborn child prohibited, exceptions--physician duties--violations, penalty--severability--right of intervention, when.)",,Viability,"viabiity ban - Mo. Rev. Stat. § 188.030 ( Full Title: Mo. Rev. Stat. § 188.030. Abortion of viable unborn child prohibited, exceptions--physician duties--violations, penalty--severability--right of intervention, when.)",,"Life endangerment, Serious health risk","viabiity ban - Mo. Rev. Stat. § 188.030 ( Full Title: Mo. Rev. Stat. § 188.030. Abortion of viable unborn child prohibited, exceptions--physician duties--violations, penalty--severability--right of intervention, when.)",,"Must use a method most likely to result in fetal survival, Second physician must participate, Second physician must certify the exception, Second physician must attend the abortion","method to save life - Mo. Rev. Stat. § 188.030 ( Full Title: Mo. Rev. Stat. § 188.030. Abortion of viable unborn child prohibited, exceptions--physician duties--violations, penalty--severability--right of intervention, when.), 2nd physician - Mo. Rev. Stat. § 188.030 ( Full Title: Mo. Rev. Stat. § 188.030. Abortion of viable unborn child prohibited, exceptions--physician duties--violations, penalty--severability--right of intervention, when.), physician certfiy - Mo. Rev. Stat. § 188.030(4)(c) ( Full Title: Mo. Rev. Stat. § 188.030. Abortion of viable unborn child prohibited, exceptions--physician duties--violations, penalty--severability--right of intervention, when.)",,0,,,,,,1,partial birth ban - Mo. Rev. Stat. § 565.300 ( Full Title: Mo. Rev. Stat. § 565.300.  Infant's protection act — definitions — crime of infanticide — penalty — exception — application of law.),,Partial-birth abortions,partial birth ban - Mo. Rev. Stat. § 565.300 ( Full Title: Mo. Rev. Stat. § 565.300.  Infant's protection act — definitions — crime of infanticide — penalty — exception — application of law.),,Life endangerment,PBA life exception - Mo. Rev. Stat. § 565.300 ( Full Title: Mo. Rev. Stat. § 565.300.  Infant's protection act — definitions — crime of infanticide — penalty — exception — application of law.),,0,,,0,,,0,,
Montana,10/1/2005,12/1/2018,1,"life exception - Mont. Code § 50-20-109 ( Full Title: Mont. Code § 50-20-109. Control of practice of abortion.), PBA ban - Mont. Code § 50-20-401 ( Full Title: Mont. Code § 50-20-401. Offense of partial-birth abortion--exception--definitions--penalties.)",,1,viability - Mont. Code § 50-20-109 ( Full Title: Mont. Code § 50-20-109. Control of practice of abortion.),,Viability,viability - Mont. Code § 50-20-109 ( Full Title: Mont. Code § 50-20-109. Control of practice of abortion.),,"Life endangerment, Serious health risk","life exception - Mont. Code § 50-20-109 ( Full Title: Mont. Code § 50-20-109. Control of practice of abortion.), health exception - Mont. Code § 50-20-109 ( Full Title: Mont. Code § 50-20-109. Control of practice of abortion.)",,"Must use a method most likely to result in fetal survival, Two other physicians must certify the exception","preserve - Mont. Code § 50-20-109 ( Full Title: Mont. Code § 50-20-109. Control of practice of abortion.), life exception - Mont. Code § 50-20-109 ( Full Title: Mont. Code § 50-20-109. Control of practice of abortion.)","Two other physicians must certify the exception, unless the physician certifies that the abortion is necessary to preserve the life of the pregnant woman. Mont. Code § 50-20-109 (2) (b).",0,,,,,,1,PBA ban - Mont. Code § 50-20-401 ( Full Title: Mont. Code § 50-20-401. Offense of partial-birth abortion--exception--definitions--penalties.),,Partial-birth abortions,PBA ban - Mont. Code § 50-20-401 ( Full Title: Mont. Code § 50-20-401. Offense of partial-birth abortion--exception--definitions--penalties.),,Life endangerment,life exception - Mont. Code § 50-20-401 ( Full Title: Mont. Code § 50-20-401. Offense of partial-birth abortion--exception--definitions--penalties.),,0,,,0,,,0,,
Nebraska,10/15/2010,12/1/2018,1,"20 week ban - Neb. Rev. Stat. § 28-3,106 ( Full Title: Neb. Rev. Stat. § 28-3,106. Abortion; performance; restrictions.), PBA ban - Neb. Rev. Stat. § 28-328 ( Full Title: Neb. Rev. Stat. § 28-328. Partial-birth abortion; prohibition; violation; penalties.)",,1,"20 week ban - Neb. Rev. Stat. § 28-3,106 ( Full Title: Neb. Rev. Stat. § 28-3,106. Abortion; performance; restrictions.)",,20 weeks postfertilization (22 weeks LMP),"20 week ban - Neb. Rev. Stat. § 28-3,106 ( Full Title: Neb. Rev. Stat. § 28-3,106. Abortion; performance; restrictions.)","Nebraska also prohibits abortions at viability ""except when necessary to preserve the life or health of the mother.""  Neb. Rev. Stat. § 28-329","Life endangerment, Serious health risk","20 week ban - Neb. Rev. Stat. § 28-3,106 ( Full Title: Neb. Rev. Stat. § 28-3,106. Abortion; performance; restrictions.)","The exception for serous health risk is limited to physical health only. Neb. Rev. Stat. § 28-3,10",Must use a method most likely to result in fetal survival,"method fetal survival - Neb. Rev. Stat. § 28-3,106 ( Full Title: Neb. Rev. Stat. § 28-3,106. Abortion; performance; restrictions.)",,0,,,,,,1,PBA ban - Neb. Rev. Stat. § 28-328 ( Full Title: Neb. Rev. Stat. § 28-328. Partial-birth abortion; prohibition; violation; penalties.),,Partial-birth abortions,PBA ban - Neb. Rev. Stat. § 28-328 ( Full Title: Neb. Rev. Stat. § 28-328. Partial-birth abortion; prohibition; violation; penalties.),,"Life endangerment, Serious health risk",PBA ban - Neb. Rev. Stat. § 28-328 ( Full Title: Neb. Rev. Stat. § 28-328. Partial-birth abortion; prohibition; violation; penalties.),The exception for serious health risk is limited to physical health only. Neb. Rev. Stat. § 28-328,0,,,0,,,0,,
Nevada,11/6/1990,12/1/2018,1,viability ban - Nev. Rev. Stat. § 442.250 ( Full Title: Nev. Rev. Stat. § 442.250. Conditions under which abortion permitted.),,1,viability ban - Nev. Rev. Stat. § 442.250 ( Full Title: Nev. Rev. Stat. § 442.250. Conditions under which abortion permitted.),,24 weeks postfertilization (26 weeks LMP),viability ban - Nev. Rev. Stat. § 442.250 ( Full Title: Nev. Rev. Stat. § 442.250. Conditions under which abortion permitted.),,"Life endangerment, Health",exceptions - Nev. Rev. Stat. § 442.250 ( Full Title: Nev. Rev. Stat. § 442.250. Conditions under which abortion permitted.),,Must be performed in a hospital,requirements - Nev. Rev. Stat. § 442.250 ( Full Title: Nev. Rev. Stat. § 442.250. Conditions under which abortion permitted.),,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
New Hampshire,1/1/2013,12/1/2018,1,PBA ban - N.H. Rev. Stat. § 329:34 ( Full Title: N.H. Rev. Stat. § 329:34 Prohibition; Limitations.),,0,,,,,,,,,,,,0,,,,,,1,PBA ban - N.H. Rev. Stat. § 329:34 ( Full Title: N.H. Rev. Stat. § 329:34 Prohibition; Limitations.),,Partial-birth abortions,PBA ban - N.H. Rev. Stat. § 329:34 ( Full Title: N.H. Rev. Stat. § 329:34 Prohibition; Limitations.),,"Life endangerment, Serious health risk",PBA ban - N.H. Rev. Stat. § 329:34 ( Full Title: N.H. Rev. Stat. § 329:34 Prohibition; Limitations.),The exception for serious health risk is limited to physical health only.,0,,,0,,,0,,
New Jersey,6/6/2011,12/1/2018,1,partial-birth abortion - N.J. Stat. § 2A:65A-... ( Full Title: N.J. Stat. § 2A:65A-6. Acts prohibited; definitions; penalties.),,0,,,,,,,,,,,,0,,,,,,1,partial-birth abortion - N.J. Stat. § 2A:65A-... ( Full Title: N.J. Stat. § 2A:65A-6. Acts prohibited; definitions; penalties.),,Partial-birth abortions,partial-birth abortion - N.J. Stat. § 2A:65A-... ( Full Title: N.J. Stat. § 2A:65A-6. Acts prohibited; definitions; penalties.),,"Life endangerment, Serious health risk",partial-birth ban exceptions - N.J. Stat. § 2A:65A-... ( Full Title: N.J. Stat. § 2A:65A-6. Acts prohibited; definitions; penalties.),Exception for serious health risk is for physical health only. N.J. Stat. § 2A:65A-6(2)(b).,1,"planned parenthood - Planned Parenthood of Cent. New Jersey v. Farmer, 220 F.3d 127 (3d ( Full Title: Planned Parenthood of Cent. New Jersey v. Farmer, 220 F.3d 127 (3d Cir. 2000))",,1,"planned parenthood - Planned Parenthood of Cent. New Jersey v. Farmer, 220 F.3d 127 (3d ( Full Title: Planned Parenthood of Cent. New Jersey v. Farmer, 220 F.3d 127 (3d Cir. 2000))","The Court of Appeals held that: (1) statute prohibiting partial birth abortion was unconstitutionally vague; (2) statute created undue burden on women's constitutional right to obtain an abortion. Planned Parenthood of Cent. New Jersey v. Farmer, 220 F.3d 127 (3d Cir. 2000).",0,,
New Mexico,5/17/2000,12/1/2018,1,partial-birth abortion - N.M. Stat. § 30-5 ( Full Title: N.M. Stat. § 30-5A-3. Prohibition of partial-birth abortions.),,0,,,,,,,,,,,,0,,,,,,1,partial-birth abortion - N.M. Stat. § 30-5 ( Full Title: N.M. Stat. § 30-5A-3. Prohibition of partial-birth abortions.),,Partial-birth abortions,partial-birth abortion - N.M. Stat. § 30-5 ( Full Title: N.M. Stat. § 30-5A-3. Prohibition of partial-birth abortions.),,"Life endangerment, Serious health risk",partial-birth abortion - N.M. Stat. § 30-5 ( Full Title: N.M. Stat. § 30-5A-3. Prohibition of partial-birth abortions.),,0,,,0,,,0,,
New York,9/7/2016,12/1/2018,1,Abortion in first degree - N.Y. Penal Law § 125.45 ( Full Title: N.Y. Penal Law § 125.45. Abortion in the first degree.),,1,Abortion in first degree - N.Y. Penal Law § 125.45 ( Full Title: N.Y. Penal Law § 125.45. Abortion in the first degree.),,24 weeks postfertilization (26 weeks LMP),"Abortion in first degree - N.Y. Penal Law § 125.45 ( Full Title: N.Y. Penal Law § 125.45. Abortion in the first degree.), 24 weeks - N.Y. Penal Law § 125.05 (3) ( Full Title: N.Y. Penal Law § 125.05. Homicide, abortion and related offenses; definitions of terms.)",,Life endangerment,"24 weeks - N.Y. Penal Law § 125.05 (3) ( Full Title: N.Y. Penal Law § 125.05. Homicide, abortion and related offenses; definitions of terms.)",,No requirements,,,0,,,,,,0,,,,,,,,,1,Attny Gen. Op. - N.Y. Op. Att’y Gen. No. F1 ( Full Title: N.Y. Op. Att’y Gen. No. F1),,0,,,1,Attny Gen. Op. - N.Y. Op. Att’y Gen. No. F1 ( Full Title: N.Y. Op. Att’y Gen. No. F1),"The Office of the Attorney General found that Penal Law § 125.05 must be read to include an exception to preserve a pregnant woman's health and to allow an abortion of a nonviable fetus after 24 weeks. N.Y. Op. Att’y Gen. No. F1, September 7, 2016."
North Carolina,10/1/2015,12/1/2018,1,"Ban after 20 weeks - N.C. Gen. Stat. § 14-45.1 (a) ( Full Title: N.C. Gen. Stat. § 14-45.1. When abortion not unlawful.), Sex-selective abortion - N.C. Gen. Stat. § 90-21.121 (a) ( Full Title: N.C. Gen. Stat. § 90-21.121. Sex-selective abortion prohibited.)",,1,Ban after 20 weeks - N.C. Gen. Stat. § 14-45.1 (a) ( Full Title: N.C. Gen. Stat. § 14-45.1. When abortion not unlawful.),,20 weeks postfertilization (22 weeks LMP),Ban after 20 weeks - N.C. Gen. Stat. § 14-45.1 (a) ( Full Title: N.C. Gen. Stat. § 14-45.1. When abortion not unlawful.),"There are two bans in North Carolina: a ban after the first 20 weeks of pregnancy (N.C. Gen. Stat. § 14-45.1 (a)), and a total ban (N.C. Gen. Stat. § 14-44).","Life endangerment, Serious health risk","Medical emergency exception - N.C. Gen. Stat. § 14-45.1 (b) ( Full Title: N.C. Gen. Stat. § 14-45.1. When abortion not unlawful.), Medical emergency definition - N.C. Gen. Stat. § 90-21.81 (5) ( Full Title: N.C. Gen. Stat. § 90-21.81. Definitions.)",The exception for serious health risk is limited to physical health. N.C. Gen. Stat. § 90-21.81 (5).,No requirements,,,1,Sex-selective abortion - N.C. Gen. Stat. § 90-21.121 (a) ( Full Title: N.C. Gen. Stat. § 90-21.121. Sex-selective abortion prohibited.),,Sex,Sex-selective abortion - N.C. Gen. Stat. § 90-21.121 (a) ( Full Title: N.C. Gen. Stat. § 90-21.121. Sex-selective abortion prohibited.),,0,,,,,,,,,0,,,0,,,0,,
